symbol,token_name,tweet_time,entry_time,entry_price,delay_hours,evidence_source,return_24h,return_7d,return_30d,max_30d,min_30d,status,tweet_url,tweet_text,ocr_text
ASTER,Aster,2025-10-26T04:50:17.000Z,2025-10-26T08:00:00.000Z,1.172,3.16,文字+配图OCR,-6.23%,-19.28%,-0.26%,+20.05%,-30.29%,ok,https://x.com/nihaovand/status/1982308782568087571,"看来赚钱的最好方式是持有 $Aster ，以及跟单交易

GM，身心俱疲的亏钱，让我们好好休息一下吧 https://t.co/AIv7evrSA4","BINANCE
现 货 账 户 余 额 834 ， 177 ． 04649 可 用 资 产 834 ， 177 · 04649 平 均 买 入 价 交 易 ASTER/USDT ASTER/USDC 1 · 180 1 · 180 + 4 ． 24 ％ + 4 ． 24 ％ ASTER $ 984 ， 328 · 91 不 可 用 0 · 00 今 日 盈 亏 + $ 32 ， 532 · 90 〉 ASTER/TRY 49 · 53 + 4 ， 20 ％
定 比 跟 单 @ 定 投 计 划 净 跟 单 金 额 19 ， 929 ， 1755 已 实 现 盈 亏 (USDT) + 7 ， 127 · 8740 分 润 ±M(USDT) 70 · 8244 分 润 比 例 10 ％ 调 整 余 额 保 证 金 余 额 (USDT) 26 ， 253 ， 1423 未 实 现 盈 亏 (USDT) 一 802 ． 4986 净 盈 亏 (USDT) + 7 ， 057 ． 0496 跟 单 时 间 2025 / 10 / 17 15 ： 50 设 置 结 束 跟 单 0"
ASTER,Aster,2025-11-15T04:13:13.000Z,2025-11-15T08:00:00.000Z,1.148,3.78,文字,+5.40%,+2.53%,-20.99%,+22.56%,-23.17%,ok,https://x.com/nihaovand/status/1989547210296402150,"这个账户原本只有 20,000 USDT

但我在 Aster 开始交易，一个月之后它从20,000—75,830，并且全是做多的交易，没有做空

Aster 真的在帮助大家资产增长，朋友们给我看看你们的变化过程，我会送100u的幸运钱给你们🥳 https://t.co/vzVesyjGdg",资 产 永 续 合 约 现 货 总 厼 额 (USD) O 75 ， 830 · 90 禾 实 现 盈 亏 (USD) O.OO 7 天 盈 亏 _(USD) 一 ] 9 ， 985 ， ] 5 充 值 0 Oxf2 “ ． 67 ] 4 钱 包 东 额 ． 〈 USD ） 75 ， 830 ． 90 提 现 转 账 邀 请 好 友 赚 取 高 达 ℃ ％ 返 利 ！
PLUME,Plume,2025-02-01T10:16:26.000Z,2025-08-18T12:00:00.000Z,0.072,4753.73,配图OCR,,,,,,excluded_first_day,https://x.com/nihaovand/status/1885633300997558476,"更新了一下 2025 Q1 大概率 TGE的项目

弱弱提醒下个各位 Q1 只剩下 2 个月了哦～ 各位 Founder  记得过完春节复工发币，空投/拉盘代币涨涨，让大家美美过完 2025 

目前表现最好的是： GPS/Goplus，冲！ https://t.co/PXc1QWbm64",Asian on chain 2025 QI TGE 不 代 表 官 方 ， 非 最 终 结 果 ， 为 大 概 预 测 X/Twitter @nihaovand 截 止 至 ： 2025 / 02 / 01 ， 变 色 字 体 为 已 TGE 0 @ ． 0 。 0 0 List （ 以 下 排 名 不 分 先 后 ） 0 0 SoIayer 0 Nillion 0 Duckchain Pinai Humanity 0 Jambo Nodepay 0 Tea 的 Mint 0 Plume 0 Goplus 0 Taker 0 SOIV Redstone 0 ． Azuki 0 Bio Analog Doubler ． Soon 0 Alaya 6 ArteIa 9 StO ry L-• Linea DIN 0 Sign 0 KeIp DAO UtXO Stack
PLUME,Plume,2025-03-28T10:38:14.000Z,2025-08-18T12:00:00.000Z,0.072,3433.36,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1905570117427343467,"GM，家人们，有一说一 OKX 的审美真的很好

每天睡醒第一件事是喝一大杯咖啡，然后回复所有消息并且关注一切；是一个S欲望很强的人，也是经验认知都很丰富的人，推进一切，让我们加油

空虚的脸只会被人诟病，有实力的哥不会被人攻击，很努力的，这几天带大家都赚不少：SUI、Morph NFT、Plume、Solv... 一切

会努力带大家赚钱的，也会给大家追寻更多福利；Sidekick. live 中",
PLUME,Plume,2025-04-04T13:35:37.000Z,2025-08-18T12:00:00.000Z,0.072,3262.41,文字+配图OCR,,,,,,excluded_first_day,https://x.com/nihaovand/status/1908151471570567464,"这是一条道歉视频💙🧡❤️ 大家非常热情，一不小心大量的涌入给老师个人直播间干崩了，正在紧急修复中

那老师先下线，推迟到明天，周六或者周日晚上九点继续上线讲解我们今天的主题：

🔴 RWA 与 RWAfi 到底是什么，以及 Plume 在这个过程中的特殊地位
🔴 了解美林时钟，一起探讨区块链行业的周期性，避免被下降周期中的FUD声音影响

感谢 @HeyfishYC  老师立马给粉丝 V了 1000，宝宝们周五晚上娱乐一下吧！我也去写一个更好的脚本向大家介绍Plume和美林时钟💙🧡❤️ Let's fuck gogogo

以及老师也给大家带来福利，评论转发本条推特，我将选出10名幸运儿获得 Plume 的代币空投（我很大方的，空投自己买的币哈💙）",X.COm/ihaOV习 nd / 螫 amsJ1907625134728646947 [ 」 CryptO [ 」 00 唧 》 0 [ 〕 Research 《 过 田 rtg ， Readium Ecosysten 》 《 PI 《 “ 巳 了 《 通 知 × 仞 x 上 的 v “ dNll 0 》 责 产 配 0 指 南 针 ． 材 0 x 壓 新 后 动 即 可 更 新 [ 0 ， 岳 0 ， k ehn [ 〕 0 诹 box [ 〕 咬 过 @ 0 * 0 [ 」 Research [ 〕 u 邝 以 命 0 回 口 丛 0 SIDEKICK 主 页 探 索 私 信 Grok Premium 书 签 社 群 文 章 “ 文 章 价 值 镯 定 》 RWA 是 艋 能 Web3 的 巨 大 机 会 。 但 开 采 RWA 的 念 矿 仍 存 有 一 些 碍 》 包 括 RWA 上 链 即 沆 睡 、 现 实 资 产 与 加 巒 市 场 的 一 致 性 困 境 和 去 中 心 化 与 合 规 的 平 窗 性 等 ， RWAfi 为 上 述 困 境 提 出 了 解 决 方 案 。 RW 黼 的 定 义 ： RWA 提 出 将 頁 实 世 界 资 产 代 币 化 一 想 法 ， 但 却 并 末 提 出 如 何 繁 茉 整 个 涟 上 生 态 的 实 昕 举 撾 ； 而 RWAfi 则 是 RWA 繁 荣 的 具 体 路 径 》 是 赛 道 不 可 或 的 基 础 设 施 。 为 了 实 现 RWA 适 上 价 值 的 放 ， RWAf 健 设 更 高 效 的 技 术 层 架 构 、 开 放 的 基 础 设 施 工 貝 集 和 完 善 的 生 态 系 进 行 协 同 · Plumeq 述 Plume 是 目 前 行 业 内 首 个 以 RW i 为 定 位 的 链 上 生 态 ， 其 推 出 了 首 个 专 为 RW 设 计 的 LI 公 链 。 其 茗 特 点 在 于 将 代 币 化 流 程 和 合 机 原 生 集 成 到 区 块 涟 架 构 中 。 持 有 者 和 机 构 投 资 者 能 够 利 用 链 上 糸 的 优 势 ， 而 无 霄 掌 握 大 最 技 术 或 开 发 复 杂 的 基 础 设 施 》 并通 过 引 入 Proof-of-Representation 的 新 安 全 棖 型 ， 代 币 化 的 RWA 本 身 成 为 区 块 链 安 全 模 型 的 一 部 分 ， 将 具 安 全 性 与 资 产 价 值 直 接 挂 钩 。 PlumeBkt$: 主 要 包 括 A ℃ 、 智 能 钱 包 和 № xus 三 个 核 心 组 件 。 各 个 组 件 共 同 协 作 ， 提 供 化 且 安 全 的 环 境 ， 用 于 管 理 各 种 资 产 类 别 、 确 保 合 规 性 并 促 进 数 据 集 成 。 剜 ume 的 定 位 ： PlumeE 0 身 的 设 计 来 定 义 R Afi. 通 过 模 块 化 架 构 、 PoR 机 制 、 合 规 引 擎 与 动 态 监 管 适 配 、 真 实 收 益 与 流 动 性 创 新 等 “ 豇 “ 艹 姒 艹 - RWA 的 代 币 化 、 合 规 性 、 流 动 性 和 互 噪 作 性 问 題 ， 为 开 为 二 晚 固 定 21 ：@开 播 Q 索 Memecoin Morn 雩 StabIes Make WorId … 显 示 史 有 什 么 新 鲜 事 From 0 Desk Of Anthony pompliano 0M0u0 0 中 0 行 区 的 #ABSCBNBa112025 2 艿 子 Solana 万 了 中 0 滟 刚 行 致 区 的 0 #TopFormEP4 5 力 条 帖 子 中 占 瀝 刚 行 效 区 的 0 势 Southeast Asia 942 （ 今 日 主 题 ． 介 绍 Plumc 和 0 夫 林 时 钟 的 讲
TRUMP,OFFICIAL TRUMP,2025-01-25T09:00:31.000Z,2025-01-25T12:00:00.000Z,26.9,2.99,文字,+8.33%,-15.20%,-44.54%,+20.07%,-46.95%,ok,https://x.com/nihaovand/status/1883077480611029372,"善用OKX web3 的已经提表提车了

OKX 真的是目前门槛最低的链上交互工具了，下方有图片教程，真的学一下，浪费不了你多长时间

宝宝，快加入吧；想和你在百倍币上手拉手做家人

我也给大家准备些OKx Trump红包捏，一键三连评论区留言我私发你OKX口令，新年快乐，冲冲 https://t.co/5ymdJnaCHT","Asian on chain 如 何 使 用 手 机 冲 金 狗 ？ 亻 吏 用 专 属 邀 请 码 可 以 享 受 社 区 空 投 、 红 包 、 专 注 财 富 密 码 以 及 教 程 等 福 利 、 详 情 请 在 Twitter 关 注 @nihaovand 复 制 Memecoin 的 CA ()A 为 创 建 memecoin 的 智 能 合 ， 例 如 ： A9jfif9JyX2QrrkV235YxFG3wWNmMDT7mgTPacabQIKe 在 搜 索 一 栏 填 入 智 能 合 约 ， 点 击 搜 索 ， 出 现 的 第 一 个 币 种 即 是 需 要 交 易 的 Memecoin 点 击 进 入 交 易 界 面 ， 即 可 开 启 您 的 交 易 模 式 3 ： 交 到 所 Web3 包 苤 2025 EVM SVM - 账 户 01 $ 30 ， 422 · 56 3002 & ] 3 怦 613 3 阉 1 月 Meme A? 虍 f 力 “ ． a “ b01 Ke 佾 01 市 伯 ： $ 10 · 61M 东 踬 ： 59 64104 SOL 0 Memecoi n 波 动 剧 烈 ， 建 议 新 手 玩 家 进 行 少 量 的 金 钱 尝 试 即 可 如 果 需 要 进 阶 玩 法 ， 请 在 OK × 注 册 为 Nihaovand 的 节 点 、 币 种 0 NFT DeFi 0 授 权 自 定 义
Asian on chain 如 何 拥 有 WEB3 钱 包 亻 吏 用 专 属 邀 请 码 可 以 享 受 社 区 空 投 、 红 包 、 专 注 财 富 密 码 以 及 教 程 等 福 利 、 在 应 用 商 店 搜 索 OK)( ， 并 且 下 载 注 册 并 且 填 写 邀 请 码 ： nihaovand 点 击 上 方 CE × / 钱 包 ， 创 建 新 的 钱 包 ， 保 护 好 助 记 词 ， 3 ： 同 时 绑 定 交 易 所 账 户 点 击 接 受 ， 可 以 从 交 易 所 账 户 快 速 提 取 资 产 0 2025 EV 卜 ISVM - 户 01 $ 30 ， 605 · 68 0 $ 30 ， 211 5 卜 7 ， 659 6 ） 币 种 NFT DeFi 资 严 值 $ 30 ， 60s 0 交 易 历 史 授 权 0 到 钱 包 内 选 择 币 种 Q 瞍 索 币 种 从 交 易 所 账 户 快 捷 提 币 包 己 关 交 易 所 P 。 币 无 的 证 0 0 59 还 641 5 ， O 2 t3882 ． 578 还"
OKB,OKB,2025-11-02T15:37:38.000Z,2025-11-02T16:00:00.000Z,138.58,0.37,文字,-3.23%,-9.31%,-24.00%,+2.97%,-33.51%,ok,https://x.com/nihaovand/status/1985008407317975166,我给okx冲了10w，然后成为了vip，同时做多了okb，不到两天我已经不是vip了😳 @star_okx,
M,Memecore,2025-05-11T14:11:25.000Z,2025-09-09T08:00:00.000Z,2.0989,2897.81,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1921568834403922370,"很多人不了解 Memecore，不知道干什么的；我帮大家概括一下：

🔥 韩国大哥，专门为Meme 币设计的 Layer1

🔥 非常有钱，凡是交易所的活动，全力赞助；上次 OKX 越南晚宴，现场空投5-10wu给大家

🔥为了参加川普晚宴，直接买川普币到第二名持币地址（近 2,000 万美元）

现在有一个零撸活动，说白就是撒钱给大家

打开链接：https://ants-maker.memecore. com/（记得去到.后面的空格）

绑定你的 SOL 和 EVM 地址 ，直接生成你的专属meme头像，分享到推特

等待空投和奖励就行了，如果你不参与，那我真的白说了；Mew也是他们很好的合作伙伴，还记得我喊Mew的时候吗？

家人们，赶快抓紧",6 MEMECORE ALL 《 0 E MEW 6 0 0 0
M,Memecore,2025-08-30T09:27:20.000Z,2025-09-09T08:00:00.000Z,2.0989,238.54,文字,,,,,,excluded_first_day,https://x.com/nihaovand/status/1961722392876834987,"很多朋友问我，我说过没有卖多少 M，低价抄底回馈下项目

今天打开账户一看要晕倒了，M 直接破1，一天多了 100w，大家在群里 @ 我，我继续来发红包

感恩世界，相信世界一切好运向你滚滚而来 https://t.co/tGIyO7iGEw","令 M/USDT 行 情 数 据 广 场 1 ℃ 26001 = ¥ 7 ． 31 + 120 ． 87 ％ 创 新 区 Meme 专 区 > 女 0 币 种 概 况 《 GetAgent 正 在 分 析 M 1 分 15 分 1 小 时 4 小 时 日 线 24h 最 高 价 24h 最 低 价 24h 成 交 量 (M) 24h 成 交 M(USDT) 更 多 · MA(5): 0 ． 572300 MA( 10 ） ： 0510273 MA(20): 0469259 0 住 001000 2025 ． 07 ． 03 2025 ． 07 刁 9 VO 上 635 ． 8 万 MA(5): 472 ． 66 万 2025 一 08 一 04 MA( 10 ） ： 429 ． 46 万 1 ． 160000 4 2025 ． 08 一 20 MACD 1 ． 160000 0 ． 457542 1 ， 114 ． 99 万 77L71 万 L262846 L025701 0 ． 930573 0 ． 5983c0 0 ． 266027 ． 0066246 2 ． 23 亿 0 ℃ 0 MA EMA BOLL SAR AVL VOL KDJ
累 计 盈 亏 ． 08 一 30 + 301 ， 383 · 45 CNY 33 ， 28 万 23 ． 84 二 14 ． 39 万 4 ． 95 万 ． 4 ， 48 万 08 一 24 每 日 盈 亏 ． 08 一 30 + 256 ， 449 ． 47 CNY 25 ． 64 万 12 ． 82 万 0 ℃ 0 08 一 30
Q 搜 索 邑 钱 包 A 一 M 0 ¥ 896 ， 216 ． 16 + ¥ 365 ， 306 ． 87 （ + 68 · 80 ％ ） 1 日 O 发 送 O 接 收 交 易 历 史 0 更 多"
DRIFT,Drift,2025-02-04T08:49:29.000Z,2025-02-04T12:00:00.000Z,0.7448,3.18,文字,+0.87%,+8.45%,-7.14%,+17.19%,-22.91%,ok,https://x.com/nihaovand/status/1886698580624457816,"听完了@DoveyWanCN 姐的发言，切实的感受是终于意识到了气质到底是什么？

这也是很多从业者没办法从中层管理走向“组局者”所缺乏的一点； 另外一个正面案例是 @cecilia_hsueh ，她明确给 Morph 带来了“如何走得更远？”

Dovey说了那么多其实都不足以被诟病；反而展示了她强势的价值观： 如何更好的帮助被投方，以及平衡被投方的长期与短期利益

也展示了她的态度：“不是谁的敌人，我们也希望所有人更好，甚至愿意牺牲自己的短期利益”； 另一个反面案例是某公关总裁

听完真的蛮有感受，既然决定支持一个项目，当下再艰难也要帮助他们往好的方向走，难道要真的要根据价格两面三刀么？ 例如过去支持的 Drift 在一天拉到两块钱之前，还花了一个月从0.8跌到了0.3；难道要突然反目吗？  坚定不移的信念，正面案例是 @cindyleowtt 

前几天一个即将要 TGE 项目的 CMO 跟我说：“感觉陷入死循环，做项目好难”，那这个时候向下做市场与社区还有什么意义呢？社区不认为你的项目是有价值的；反面案例是 @flock_io 

破局之道不就是让创始人寻找新的融资、做市商关系，与合理的产品结构/技术，埋伏于未来的叙事，并且讲一个更具被认可度的故事，组成新的阳谋吗？ （这里的正面案例就不@了）

昨晚跟一个合作非常深度的项目 Founder Call，我还问他这样做或许会收入很高，但是真的是有利于你项目本身发展的吗？我们一起想了一个更大的叙事，承载现在想做的一些边缘创新；并且劝他们不要着急发币，这样估值会迎来更大的天花板；这个时候还算做欺骗吗？

现在这些项目被诟病的原因，也是团队的行事方式里从不包含如何管理社区关系，我也跟所有有着联系的项目团队说过“一定要足够尊重社区”，无论发生什么首先从用户角度出发 正面案例是： @Cryptosis9_OKX  @Mercy_okx @mia_okx @okxchinese  @saharaai  @tz_sahara 

反面案例依旧是那一个，举个形象的例子就是：你出轨被抓，又不想离婚，千万不能说：我就是爱她怎么了；你只能认错说：宝宝相信我，未来我会把家庭经营的更好

人真的是能从对比里学到很多的，我相信优质的项目团队永远有两条护城河：

健康的的价值观、坚定不移的信念；这里的正面案例是 
@SonicSVM  @Chrizhuu",Asian on chain AsianOnChain 永 不 作 恶 2025 / 02 X @nihaovand @Aisianonchain TG ： https://t.me/onboardingweb3 Asian on chain 0
DRIFT,Drift,2025-03-25T14:47:49.000Z,2025-03-25T16:00:00.000Z,0.6242,1.20,文字,+2.27%,-8.38%,-17.09%,+13.65%,-34.75%,ok,https://x.com/nihaovand/status/1904545764443070636,"Mirror 老师应该是翻到了我的微博，但我还是想说颜值只是毫无价值的特色，一个人永远无法靠外貌站稳脚，一个人只能靠创造价值赢得一切

首先声明一点我没觉得自己特别好看哈，只是花钱成为普通人，mirror老师的嗯哼应该也这么做

但感觉大家都很好奇这些外在，我就说一说自己的看法和过程吧

在我看来：对于普通人而言，好看的脸很多，但天花板很低；你们都说的 in11 早就划归好了市场的价格，一个小时多少钱；对于一个加密世界的builder，都是很廉价的

聪明的大脑和健康的价值观，以及你看待自己和世界的方式；这些东西是没有天花板的；

甚至当你走到一定阶段的时候，颜值还有可能是一种阻力，因为在这个时候人们会看：气质；如果你五官精致身形单薄浓妆艳抹，也可能会留下错误的第一印象

走到今天我坚定的认为，一切外在因素只能作为你的起点，能走多远全凭远见卓识和道德底线

就像我作为KOL从未长时间背负过任何骂名，因为我永远参与且从自己的角度选择最好的项目分享给大家，并且长期建设

记得之前建设Drift的时候很多人骂我，但这个币之后拉了十倍，8个月的时间

我的价值观里永远都是：社区优先、乐观主义、长期建设；我不只是在做kol，我还在做其他的事，还在一级市场勇敢的投资，也在帮助更多人了解并且加入加密世界；我会做一切我认为有助于项目成长和行业进步的事

你们看到的我或许生活优美，但那只是我展示出来的；事实上得我每天工作8-12h，每天都是meeting，还需要深度投研寻找一切

但回归主题讲一下我为什么会做医美；首先告诉大家几个残酷的事实：

1️⃣你或许会认为自己的内在非常值得欣赏，但事实上是无人在意；这个世界是有快与慢之分的，优秀的沟通能力和负责任的态度也只能在长时间相处之下体现；只有外在展示的一切可以非常快的让其他人看到

如果我做一个项目，我一定会招聘一个气质非凡的CMO；因为创始人气质是最能快速向社区展示项目品牌

当然我们所理想的社会是不注重外在的，但这个世界的结果就是这样，我看重结果

2️⃣ 好看的人确实不缺钱花，不知道谁送了我一个手链，我昨天出门带上拍了个照片，朋友说这是满钻梵克雅宝；前段时间还遇到一个项目的创始人，直接在后台一直问我多少钱

但很可惜，我早就过了会认为这些很重要的阶段；生命应该享受自我价值实现的快感，当你价值观不错，道德底线尚可，你实现了自我的价值，就一定可以赚到钱；而不是通过外貌进行交换，德需配位

我很明确的知道自己的人生需要经历的过程，就像我说的：

人生就是： 说服自己，教育自己，挑战自己，征服自己，成就自己的过程 

勤奋的人，不需要说服自己 
有智慧的人，不需要经历苦难教育自己 
幸运的人，不需要挑战自己  
但往往，至真至诚之人才能征服自己；

我还走在不同阶段的路上，希望能够跟大家一起长期建设，让我们一起走的更远

依稀记得24年8月份新加坡的Token2049是我经历爆仓回到行业工作之后第一次参加行业大会

那个时候靠寻找优质标的赚了点小钱，但胖了几十斤，非常丑陋，我如果post原生照片大家一定会取关我的程度；这是我讨厌的样子

然后我就在短短四个月的时间爆瘦20斤，每天健身，无数次饿到在路边反胃吐酸；四个月的时间不间断的有20多天躺在手术床上，我每天五点半要起床跳绳喝冰美式；因此我改变了自己，虽然还没有特别成功；

我记得做鼻子的时候全麻手术刚醒就跟一个很好的项目在开会，之后带领社区成功

我认为自己过的非常好，但给我长期算命的大师说你过得不好，他认为一个人正常人一日三餐想吃什么吃什么想干什么干什么，而我永远在教育自己，并非满足自己

我相信他说的有道理，但我更希望关注这个世界美好的一面；恶与善并存，关注美好看到美好 “随众生心，应所知量。”

当然说这些不是为了把所谓医美改变自己的故事有多么精彩，而是我想把改变自己的勇气和通过坚持获得胜利过程传递大家

一切都是坎坷的，就像今天我们的行业；我躺在手术床的时间很多，行业经历波折的时间也很多；

但只要你留下，你坚持，我们每个人都可以收获美好；哪有什么天生丽质，全是我耗光力气向你奔赴而来

悲观者正确，乐观者收获，大家一起加油🧡","斷 宝 宝 接 《 K 店 纯 爱 频 道 （ 288 ） 温 柔 似 铁 （ 正 宫 夫 人 ） ： https://live.sidekick.fans/strea Allen 慢 砖 梵 克 雅 宝 温 柔 似 铁 （ 正 宫 夫 人 ） ： Allen Allen 抱 拳 了 ！ 那 个 还 没 到 Diana: 和 我 们 那 天 去 万 象 城 看 的 那 款 蛮 像 的 ChOC 。 坠 ． 太 高 级 了 Diana 太 高 级 了 Arthur 主 要 还 是 van 宝 太 受 欢 迎 ， 别 人 送 礼 都 是 梵 克 雅 宝 起 步 哈 哈
我 发 现 了 ， 你 是 每 天 拿 项 目 方 的 衣 服 穿 哈 哈 齔 属 眼 皮 ， 术 后 第 五 天"
DRIFT,Drift,2025-11-10T13:19:33.000Z,2025-11-10T16:00:00.000Z,0.3633,2.67,文字,-5.75%,-26.81%,-36.55%,+3.83%,-43.82%,ok,https://x.com/nihaovand/status/1987872760459395555,"大家都比较好奇“KOL”，我跟大家讲一下我的真实经历

1️⃣ 一开始我做 KOL 就是为了赚钱

24年的时候，我因为爆仓回到行业工作，当时身无分文。在朋友的介绍下，我加入了一家风险基金工作，负责他们投资后项目的市场宣发支持

后面这个团队，转为了一家帮助项目进行市场营销的 Agency

当时我帮助项目联系 KOL，头部KOL写一篇推文的价格为 3-5ku，而我当时的工资则是4ku+奖金

平均每个月我帮助头部KOL，联系5个左右的项目

我负责合作的项目，我甚至会帮助项目写一整个全案计划，从项目亮点到关键进展。

我当时就想，“凭什么我不能称为KOL呢？” 写一篇推文，就是我辛苦工作一个月的工资

2️⃣ 做了 KOL 之后，我才发现如果只是为了自己赚钱，那就“赚不到钱”

于是我开始运营自己的账号，我成长的路径运气比较好

我推广的第一个项目 $LPT ，第一个月从 9u，拉到了25u，之后遇到牛市。

但真正让我影响力扩大的项目从来没给我一分钱

去年半年的时间，我每周都奶 $Drift ，并且自发地给项目组建大户社区，后面项目三天拉了十倍

我持续的帮助 @saharaai 构建中文社区，帮助让社区和团队沟通，项目TGE的时候给出了最好的Airdrop，粉丝们都感谢我

诸如此类很多很多，真正让我赚到钱并且影响力扩大的项目，都是我真心热爱和社区一起建设的项目

3️⃣ 走到现在做KOL，对于我而言已经不是“我有多少收入”的事情了

而是我还有一群真正拥护我的粉丝和社区，我希望大家都能因此改变人生

去年我一直强调乐观，今年就用豪车腕表珠宝证明乐观的力量，这是一种羁绊

也是我希望真正的为改变我人生的行业做出更多贡献

📅 再过几年回头看，现在看也只是个经历，而不是结果。

但我想让大家陪伴我，我也想陪伴大家，这就是我做 KOL 的意义",OSMO ACTION 5 PRO 12mm F2 ． 8 1 / 80s 0 25600
MEW,Mew,2025-05-11T14:11:25.000Z,2025-05-11T16:00:00.000Z,0.003499,1.81,文字+配图OCR,+10.20%,-7.86%,-2.00%,+38.38%,-19.63%,ok,https://x.com/nihaovand/status/1921568834403922370,"很多人不了解 Memecore，不知道干什么的；我帮大家概括一下：

🔥 韩国大哥，专门为Meme 币设计的 Layer1

🔥 非常有钱，凡是交易所的活动，全力赞助；上次 OKX 越南晚宴，现场空投5-10wu给大家

🔥为了参加川普晚宴，直接买川普币到第二名持币地址（近 2,000 万美元）

现在有一个零撸活动，说白就是撒钱给大家

打开链接：https://ants-maker.memecore. com/（记得去到.后面的空格）

绑定你的 SOL 和 EVM 地址 ，直接生成你的专属meme头像，分享到推特

等待空投和奖励就行了，如果你不参与，那我真的白说了；Mew也是他们很好的合作伙伴，还记得我喊Mew的时候吗？

家人们，赶快抓紧",6 MEMECORE ALL 《 0 E MEW 6 0 0 0
KET,yellow ket,2025-07-18T04:49:43.000Z,,,,文字+配图OCR,,,,,,price error: GeckoTerminal public API only exposes recent on-chain OHLCV; this call window is older than 180 days,https://x.com/nihaovand/status/1946069850033676770,"KET 一直是公认的 Avalanche 正牌太子

目前在亚太地区关注度并不高

我是选择在一直 buy in $ket （0xFFFF003a6BAD9b743d658048742935fFFE2b6ED7）

我预测下来的几个剧本：

- KET 开始在交易所listing 登陆大雅之堂
- AVAX 官方开始奶

低市值 memecore 撬动高市值公链增长，这是很划算的买卖 https://t.co/fprBTkKuf6",0 KET Avalanche C 收 款 地 址 交 易 历 史 2025 / 07 / 18 交 易 OKX Web3 2025 / 07 / 15 交 易 OKX Web3 授 权 KET 0 × f2f0 ． ． ． 6714 2025 / 07 / 07 交 易 OKX Web3 复 制 + 5 ， 864 ． 8307 KET 一 4 ， 810 ． 09957 KET + 224 ． 09957 KET
WIZZ,Wizzwoods,2025-03-27T03:06:46.000Z,,,,文字,,,,,,price error: GeckoTerminal public API only exposes recent on-chain OHLCV; this call window is older than 180 days,https://x.com/nihaovand/status/1905094115290997008,"哥哥又来给大家抽奖了，你们要给力点，哥就能天天给大家到来福利💜

给大家抽🔮5000个 #Wizz 代币，10个人 @xinruxu0123  作为社区选出来的大使将监督公平性

Wizzwoods是Berachain的Defikingdom，29号TGE ，开盘0.1U的话价值500U~

评论留下BERACHAIN地址，以及你我之间的社区故事，中奖率会更高哦

Follow  @WizzwoodsGame @BoogaWizzWoods @nihaovand",
ARIAIP,Aria,2025-11-07T09:51:44.000Z,,,,文字+配图OCR,,,,,,price error: GeckoTerminal public API only exposes recent on-chain OHLCV; this call window is older than 180 days,https://x.com/nihaovand/status/1986733297578447166,"给大家做一个提醒 Bitget 现在的山寨深度是 100u 级别的

我在Binance Alpha购买了Ariaip，因为刻板的认为 cex 交易体验比 dex 好于是在 Alpha卖出 ，在 Bitget 购买了 Airaip

但是事实上，bitget 的交易深度让你几乎无法完成交易，并且制造了相当巨大的滑点

同时在你打算出售代币的时候，在多次价格触及挂单价之后，限价挂单依旧无法成交

而且这个过程中你无法提出代币去流动性更好的地方交易，严重怀疑 Bitget 交易所在跟用户当对手盘

希望大家能吸取我的经验教训，为此我损失了至少3wu的利润",发 送 ARIAIP 提 现 地 址 长 按 粘 贴 地 址 提 现 网 络 STO RY (STO RY) 提 现 暂 停 暂 亻 亭 网 络 暂 停 使 用 。 您 可 以 尝 试 使 用 其 他 转 账 网 络 进 行 提 现 ， 也 可 以 订 阅 网 络 帧 复 提 醒 ， 订 阅 后 我 们 会 第 一 时 间 给 您 发 送 网 络 帧 复 的 佇 自
DOGE,Dogecoin,2024-11-14T05:29:32.000Z,2024-11-14T08:00:00.000Z,0.39776,2.51,文字,-6.11%,-3.74%,+2.05%,+21.77%,-14.52%,ok,https://x.com/nihaovand/status/1856932457070956752,@dogecoin @litecoin We’re not going back 🤡 https://t.co/1aMS5sWoOo,
LTC,Litecoin,2024-11-14T05:29:32.000Z,2024-11-14T08:00:00.000Z,82.27,2.51,文字,+2.99%,+9.08%,+47.61%,+78.75%,-5.64%,ok,https://x.com/nihaovand/status/1856932457070956752,@dogecoin @litecoin We’re not going back 🤡 https://t.co/1aMS5sWoOo,
